,smooth,smooth,smooth,smooth,smooth,disk,disk,disk,disk,disk,spiral,spiral,spiral,spiral,spiral,bar,bar,bar,bar,bar,merger,merger,merger,merger,merger,disturbed,disturbed,disturbed,disturbed,disturbed,ring,ring,ring,ring,ring,irregular,irregular,irregular,irregular,irregular,bulge,bulge,bulge,bulge,bulge
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.6435698151950718,0.28295133393032434,0.0,1.0,1948,0.3164620123203285,0.29165333759747586,0.0,1.0,1948,0.32427566735112934,0.3551838712799,0.0,1.0,1948,0.15853593429158108,0.23873712474752817,0.0,1.0,1948,0.0965811088295688,0.18460491577418595,0.0,1.0,1948,0.16895431211498974,0.2582727035240226,0.0,1.0,1948,0.15407135523613966,0.2828233536123698,0.0,1.0,1948,0.15183675564681726,0.24492570709721398,0.0,1.0,1948,0.3844481519507187,0.31069447515081183,0.0,1.0,1948
0,0.5630909090909091,0.2589916811580845,0.086,0.927,11,0.40099999999999997,0.2725476105197035,0.049,0.886,11,0.4294545454545455,0.36691289528616017,0.0,0.933,11,0.22336363636363635,0.25106145571444166,0.0,0.75,11,0.012181818181818183,0.029150705589464494,0.0,0.091,11,0.21172727272727274,0.17261696956504066,0.0,0.5,11,0.2318181818181818,0.3028434639155411,0.0,0.8,11,0.2685454545454546,0.2967495117557445,0.0,0.75,11,0.3367272727272727,0.28122449783370257,0.0,0.833,11
1,0.7143846153846154,0.25432968710630255,0.2,0.958,13,0.24461538461538462,0.2709103598552907,0.042,0.8,13,0.15192307692307694,0.18903018345335823,0.0,0.641,13,0.13138461538461538,0.2197997340237769,0.0,0.641,13,0.11253846153846155,0.17289284513083789,0.0,0.485,13,0.06546153846153846,0.11319423968310358,0.0,0.333,13,0.22253846153846152,0.3802347115893496,0.0,1.0,13,0.10892307692307691,0.22913659010091977,0.0,0.75,13,0.5613846153846154,0.35717515275224526,0.0,1.0,13
2,0.6758684210526316,0.2613651005575796,0.0,1.0,76,0.2687631578947368,0.2678192857591876,0.0,1.0,76,0.3444342105263158,0.3813674111414107,0.0,1.0,76,0.20098684210526316,0.2748080781646737,0.0,1.0,76,0.07117105263157894,0.14931643251010204,0.0,0.767,76,0.22997368421052633,0.25754460965998155,0.0,1.0,76,0.09247368421052632,0.18695920936105895,0.0,1.0,76,0.17655263157894735,0.27861234214044156,0.0,1.0,76,0.28648684210526315,0.28986537074630825,0.0,1.0,76
3,0.43312,0.26368475035080735,0.0,0.886,75,0.4304666666666666,0.31811341396449183,0.023,0.975,75,0.28764,0.36216300794576517,0.0,1.0,75,0.19544,0.30436070528062414,0.0,1.0,75,0.11181333333333335,0.20199201839551856,0.0,0.806,75,0.10841333333333333,0.19356038888198215,0.0,1.0,75,0.13289333333333334,0.2778356783138985,0.0,1.0,75,0.14418666666666666,0.23391461212537737,0.0,0.867,75,0.32526666666666665,0.32910079509678086,0.0,1.0,75
4,0.781,0.08320027472482115,0.682,0.894,15,0.17766666666666667,0.09081666513733405,0.043,0.297,15,0.1350666666666667,0.1711709532546198,0.0,0.5,15,0.22853333333333334,0.3234161111515333,0.0,1.0,15,0.06666666666666667,0.1484042099261659,0.0,0.5,15,0.016666666666666666,0.06454972243679027,0.0,0.25,15,0.16666666666666666,0.36187343222787294,0.0,1.0,15,0.14666666666666667,0.2948768911806772,0.0,1.0,15,0.44420000000000004,0.4085147663006985,0.0,1.0,15
5,0.4673030303030303,0.27041963742123143,0.0,0.868,33,0.5059090909090909,0.2718106376271406,0.113,1.0,33,0.570060606060606,0.3074541570903233,0.0,1.0,33,0.2014848484848485,0.21577319128139522,0.0,0.821,33,0.024909090909090912,0.09085818745315541,0.0,0.5,33,0.18427272727272728,0.24225635604758558,0.0,1.0,33,0.33754545454545454,0.3246741723356174,0.0,1.0,33,0.18981818181818183,0.28154345296790495,0.0,1.0,33,0.4396363636363636,0.16984898038070065,0.0,0.714,33
6,0.54955,0.28415479010011796,0.044,0.95,20,0.41814999999999997,0.28524528226183093,0.025,0.956,20,0.5207499999999999,0.3571135563168433,0.0,1.0,20,0.1646,0.2264137804993327,0.0,0.9,20,0.0428,0.09746178738356896,0.0,0.381,20,0.22905000000000003,0.28674993231770873,0.0,1.0,20,0.3205,0.33523934890258866,0.0,1.0,20,0.1602,0.1753092305493053,0.0,0.5,20,0.5197,0.23654844835900454,0.182,1.0,20
7,0.8768,0.04058133123056029,0.818,0.933,10,0.1062,0.043961599404733015,0.044,0.174,10,0.095,0.17070116838759158,0.0,0.5,10,0.0926,0.12827505170097922,0.0,0.333,10,0.0,0.0,0.0,0.0,10,0.2866,0.37614748880370497,0.0,1.0,10,0.2083,0.3315787320615657,0.0,1.0,10,0.0533,0.11665719009130984,0.0,0.333,10,0.5813,0.31534075044131055,0.0,1.0,10
8,0.7461639344262295,0.1868145408623098,0.031,0.952,61,0.21065573770491802,0.19290428414509111,0.0,0.938,61,0.14314754098360655,0.2389381256075565,0.0,1.0,61,0.14414754098360655,0.2475715274464853,0.0,1.0,61,0.07726229508196722,0.1814277543669788,0.0,1.0,61,0.21749180327868853,0.3217429938605667,0.0,1.0,61,0.14962295081967214,0.30958704559108124,0.0,1.0,61,0.14554098360655737,0.24406382865762058,0.0,1.0,61,0.44904918032786884,0.3164036676056663,0.0,1.0,61
9,0.28076923076923077,0.27625445813782923,0.0,0.742,13,0.7023076923076922,0.27758013395996256,0.235,1.0,13,0.6700769230769231,0.3655654208525157,0.0,1.0,13,0.26584615384615384,0.2290235963657625,0.0,0.667,13,0.08430769230769232,0.16774404341902607,0.0,0.5,13,0.09284615384615386,0.1361040326085443,0.0,0.4,13,0.5274615384615384,0.3550757232348746,0.0,1.0,13,0.12184615384615385,0.17110320772068446,0.0,0.5,13,0.4266153846153846,0.22211691308165404,0.1,0.75,13
10,0.8595,0.06051556273664927,0.76,0.956,16,0.101875,0.06420163549318662,0.0,0.24,16,0.054125000000000006,0.11969565572734879,0.0,0.333,16,0.0208125,0.08325,0.0,0.333,16,0.029750000000000002,0.08838438776164036,0.0,0.333,16,0.3780625,0.35473416690060555,0.0,1.0,16,0.0208125,0.08325,0.0,0.333,16,0.19337500000000002,0.20658876219839906,0.0,0.5,16,0.5046875,0.32430514822720075,0.0,1.0,16
11,0.4754285714285714,0.3342188761019598,0.026,0.9,21,0.4944761904761905,0.326030614980805,0.1,0.921,21,0.5370476190476191,0.3974298021274294,0.0,1.0,21,0.20685714285714288,0.23583284031582322,0.0,0.862,21,0.15052380952380953,0.2592858690803683,0.0,0.879,21,0.08900000000000001,0.15640428382880053,0.0,0.5,21,0.15157142857142855,0.2588160681697663,0.0,1.0,21,0.1469047619047619,0.2221488025540324,0.0,0.667,21,0.2714761904761905,0.26529598923610187,0.0,1.0,21
12,0.6545625,0.2201784030432292,0.167,0.92,16,0.2901875,0.2247710594508703,0.06,0.767,16,0.193,0.30425186934512005,0.0,1.0,16,0.29100000000000004,0.4029709666961132,0.0,1.0,16,0.129875,0.1918780428640373,0.0,0.5,16,0.036000000000000004,0.08933159202282993,0.0,0.333,16,0.22062500000000002,0.26551581873779195,0.0,0.667,16,0.1193125,0.1630049973671564,0.0,0.5,16,0.5895625,0.285648961431101,0.0,1.0,16
13,0.7457272727272727,0.1263377148036887,0.516,0.952,11,0.21227272727272728,0.13432579120116206,0.024,0.484,11,0.14809090909090908,0.22518723522680165,0.0,0.692,11,0.11190909090909092,0.16104375464168397,0.0,0.5,11,0.11172727272727273,0.15521539286365313,0.0,0.465,11,0.09418181818181819,0.1348368037160613,0.0,0.4,11,0.23236363636363636,0.39465130754306965,0.0,1.0,11,0.13436363636363635,0.29692095672999336,0.0,1.0,11,0.533,0.3058787341414895,0.0,1.0,11
