,smooth,smooth,smooth,smooth,smooth,disk,disk,disk,disk,disk,spiral,spiral,spiral,spiral,spiral,bar,bar,bar,bar,bar,merger,merger,merger,merger,merger,disturbed,disturbed,disturbed,disturbed,disturbed,ring,ring,ring,ring,ring,irregular,irregular,irregular,irregular,irregular,bulge,bulge,bulge,bulge,bulge
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.6158012040308861,0.29683997421463293,0.0,1.0,7641,0.34695746630022245,0.3044688717607699,0.0,1.0,7641,0.3675652401518126,0.3646883378091533,0.0,1.0,7641,0.1739074728438686,0.24997907702584612,0.0,1.0,7641,0.09510168826069887,0.18589201531995653,0.0,1.0,7641,0.16843515246695456,0.2499643666013717,0.0,1.0,7641,0.17663054574008638,0.29035558449775806,0.0,1.0,7641,0.14289935872268028,0.23515448681888854,0.0,1.0,7641,0.3967496400994634,0.29930185870764686,0.0,1.0,7641
0,0.23586666666666664,0.2505089373328142,0.0,0.93,60,0.7457999999999999,0.2564815254191926,0.047,1.0,60,0.7869499999999999,0.24672158363326965,0.083,1.0,60,0.2634166666666667,0.25477615909448403,0.0,0.962,60,0.08226666666666667,0.17404868466256318,0.0,0.8,60,0.15953333333333333,0.2188738872754661,0.0,1.0,60,0.3485,0.3440733810183864,0.0,1.0,60,0.1625,0.22082660580307908,0.0,0.714,60,0.33895,0.19719820752442827,0.0,0.788,60
1,0.6711860528839567,0.26486173617614517,0.0,1.0,7299,0.2846222770242499,0.2711157032148841,0.0,1.0,7299,0.2670057542129059,0.33018379780677937,0.0,1.0,7299,0.14649061515276063,0.23970613292097018,0.0,1.0,7299,0.10324263597753117,0.18682632453726822,0.0,1.0,7299,0.15936525551445405,0.24361190271297586,0.0,1.0,7299,0.10826496780380875,0.2321190070357811,0.0,1.0,7299,0.17250513769009454,0.25756435592975746,0.0,1.0,7299,0.3634325250034251,0.33006532225060137,0.0,1.0,7299
