,smooth,smooth,smooth,smooth,smooth,disk,disk,disk,disk,disk,spiral,spiral,spiral,spiral,spiral,bar,bar,bar,bar,bar,merger,merger,merger,merger,merger,disturbed,disturbed,disturbed,disturbed,disturbed,ring,ring,ring,ring,ring,irregular,irregular,irregular,irregular,irregular,bulge,bulge,bulge,bulge,bulge
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.6419535906204201,0.28379911853782946,0.0,1.0,2047,0.3161343429408891,0.2918974414957341,0.0,1.0,2047,0.32987103077674645,0.35547754970482603,0.0,1.0,2047,0.16335222276502198,0.24727078512560005,0.0,1.0,2047,0.1038866634098681,0.1924234644997425,0.0,1.0,2047,0.16846995603321935,0.2507598461496676,0.0,1.0,2047,0.1391695163654128,0.2642639607421464,0.0,1.0,2047,0.1560410356619443,0.2454029428834492,0.0,1.0,2047,0.3821494870542257,0.31129564660902775,0.0,1.0,2047
0,0.5476923076923077,0.29001763872087294,0.062,0.927,13,0.40900000000000003,0.31061981048649595,0.0,0.906,13,0.44030769230769234,0.3931361902732488,0.0,1.0,13,0.22876923076923078,0.2526612204270618,0.0,0.75,13,0.017307692307692305,0.0347811841263458,0.0,0.091,13,0.2316153846153846,0.1772025857888547,0.0,0.5,13,0.2171538461538462,0.2842800397946381,0.0,0.8,13,0.23423076923076921,0.28415581225979814,0.0,0.75,13,0.3167692307692308,0.27462858368050286,0.0,0.833,13
1,0.425925,0.2599604534189232,0.0,0.886,80,0.43745,0.31324095549996595,0.023,0.975,80,0.26978749999999996,0.3516095249984281,0.0,1.0,80,0.1757125,0.29518907023049534,0.0,1.0,80,0.1390625,0.23260682009168296,0.0,0.841,80,0.12062500000000001,0.21821771586877942,0.0,1.0,80,0.127675,0.2551777129568204,0.0,1.0,80,0.1366625,0.22836180175327045,0.0,0.867,80,0.30738750000000004,0.32633059628177713,0.0,1.0,80
2,0.7420000000000001,0.2464841345227489,0.2,0.958,15,0.21939999999999998,0.259496985944511,0.042,0.8,15,0.13166666666666668,0.18299011162459286,0.0,0.641,15,0.11386666666666666,0.20868016082946056,0.0,0.641,15,0.09753333333333333,0.16489298116686238,0.0,0.485,15,0.05673333333333333,0.10729895929908485,0.0,0.333,15,0.25953333333333334,0.4113029586685753,0.0,1.0,15,0.0944,0.21557358703832763,0.0,0.75,15,0.6198666666666667,0.36492207909295354,0.0,1.0,15
3,0.7471,0.18273262191275844,0.345,0.953,10,0.205,0.18772320048411703,0.0,0.655,10,0.1359,0.13097705481834937,0.0,0.333,10,0.11850000000000001,0.16512301811410518,0.0,0.4,10,0.1984,0.23572026736037024,0.0,0.618,10,0.0333,0.10530384608360704,0.0,0.333,10,0.1933,0.3491640970470284,0.0,1.0,10,0.05,0.15811388300841897,0.0,0.5,10,0.49420000000000003,0.2827742719712826,0.0,1.0,10
4,0.7135499999999999,0.24110086882333795,0.088,0.956,20,0.23515000000000003,0.24927901826541363,0.0,0.882,20,0.2496,0.3594036581250728,0.0,1.0,20,0.2725,0.39490871696740515,0.0,1.0,20,0.12764999999999999,0.14724282665040084,0.0,0.5,20,0.1862,0.23053521251758116,0.0,0.818,20,0.0739,0.12593937555740647,0.0,0.375,20,0.11695,0.19205659116657858,0.0,0.571,20,0.2894,0.2915779935382461,0.0,1.0,20
5,0.6429285714285714,0.2727034072974673,0.224,0.95,14,0.322,0.2801354068193561,0.025,0.776,14,0.3932857142857143,0.3510170779477674,0.0,0.92,14,0.2045,0.33858023705331197,0.0,0.909,14,0.06271428571428572,0.12298494502701014,0.0,0.333,14,0.15142857142857144,0.2686002790209085,0.0,1.0,14,0.16978571428571426,0.211922764803025,0.0,0.636,14,0.23714285714285713,0.32378336944579217,0.0,1.0,14,0.2581428571428571,0.2662312058062596,0.0,0.72,14
6,0.6250408163265306,0.28191229126447537,0.0,1.0,49,0.3426530612244898,0.28193265678027385,0.0,1.0,49,0.4585714285714286,0.330269397613524,0.0,1.0,49,0.22789795918367348,0.24795969471686655,0.0,0.9,49,0.0756734693877551,0.13890425175804585,0.0,0.531,49,0.20577551020408164,0.28749270029183077,0.0,1.0,49,0.17934693877551022,0.30105028310762916,0.0,1.0,49,0.16279591836734694,0.2548871465629312,0.0,1.0,49,0.21212244897959184,0.2227545952250538,0.0,0.8,49
7,0.6667586206896551,0.26910880104156676,0.018,0.979,29,0.3016551724137931,0.28074788841109855,0.0,0.982,29,0.31144827586206897,0.3483038068582099,0.0,0.981,29,0.18551724137931033,0.2849064534055314,0.0,1.0,29,0.07424137931034483,0.15029795530697723,0.0,0.6,29,0.19751724137931034,0.25495162295867246,0.0,0.9,29,0.19565517241379313,0.27874966699045695,0.0,1.0,29,0.09131034482758621,0.2372680978267104,0.0,1.0,29,0.3451724137931034,0.2870266375101692,0.0,1.0,29
8,0.617,0.2965391604564404,0.0,0.955,39,0.33356410256410257,0.30391349140242235,0.023,1.0,39,0.37853846153846155,0.36539530476586485,0.0,1.0,39,0.27056410256410257,0.3249123602378919,0.0,1.0,39,0.19228205128205128,0.28779176945163415,0.0,1.0,39,0.1717948717948718,0.22630082208925492,0.0,1.0,39,0.131,0.2302068863572847,0.0,0.714,39,0.11835897435897436,0.245030018266236,0.0,1.0,39,0.36458974358974355,0.20566998577802384,0.0,0.714,39
9,0.5189374999999999,0.3112455555238232,0.0,0.846,16,0.4504375,0.3166242712848569,0.105,1.0,16,0.511125,0.41897380586380334,0.0,1.0,16,0.339875,0.35684429377531035,0.0,1.0,16,0.16025,0.2701205903542589,0.0,1.0,16,0.164875,0.28967588209353345,0.0,1.0,16,0.158625,0.26859359014441625,0.0,1.0,16,0.15681250000000002,0.24449491303501594,0.0,0.8,16,0.27425,0.24897376033095,0.0,0.667,16
10,0.8013,0.13624358793806515,0.4,0.961,60,0.1650333333333333,0.13913022392363045,0.0,0.577,60,0.1464,0.2318427433134767,0.0,1.0,60,0.11105000000000001,0.21363864826828102,0.0,1.0,60,0.08855,0.17495495061804545,0.0,0.667,60,0.12641666666666668,0.25259408662688454,0.0,1.0,60,0.08306666666666666,0.21053192250934358,0.0,1.0,60,0.11586666666666666,0.26548870617663684,0.0,1.0,60,0.5280166666666667,0.3441672086560895,0.0,1.0,60
11,0.8584615384615385,0.05983256552610711,0.76,0.956,13,0.1043076923076923,0.06354445243998437,0.022,0.24,13,0.041,0.10369667304209908,0.0,0.333,13,0.0,0.0,0.0,0.0,13,0.03661538461538462,0.09742906689958124,0.0,0.333,13,0.34992307692307695,0.333247270941179,0.0,1.0,13,0.025615384615384616,0.09235758267150065,0.0,0.333,13,0.2123846153846154,0.21236820950946594,0.0,0.5,13,0.5699230769230769,0.3173616395477094,0.0,1.0,13
12,0.8235833333333332,0.09780811590165658,0.583,0.933,24,0.13008333333333333,0.09482474299494817,0.0,0.375,24,0.09666666666666668,0.14862256445999936,0.0,0.5,24,0.076125,0.11100188502120525,0.0,0.375,24,0.12008333333333332,0.23745515213480273,0.0,1.0,24,0.27287500000000003,0.3171007674842974,0.0,1.0,24,0.0545,0.11414788272427476,0.0,0.4,24,0.22520833333333334,0.28565485089628656,0.0,1.0,24,0.3910833333333333,0.3716459180534573,0.0,1.0,24
13,0.8631818181818182,0.07483424106893606,0.714,0.977,11,0.09618181818181819,0.06774188981984218,0.023,0.257,11,0.11363636363636363,0.2050498830661811,0.0,0.5,11,0.23481818181818184,0.26303110773511873,0.0,0.75,11,0.10736363636363637,0.15459448420126298,0.0,0.333,11,0.2848181818181818,0.3222659827477353,0.0,1.0,11,0.018181818181818184,0.06030226891555274,0.0,0.2,11,0.11463636363636365,0.1513415162652157,0.0,0.4,11,0.5984545454545455,0.3136499206556136,0.0,1.0,11
