cluster,smooth_entropy,disk_entropy,spiral_entropy,bar_entropy,merger_entropy,disturbed_entropy,ring_entropy,irregular_entropy,bulge_entropy
-1,0.9433087382248477,0.9049411802459185,0.9096623924307744,0.6390547014326957,0.4673951142657559,0.6438201591282647,0.5978058358319444,0.6264412218893831,0.9563945000330406
0,0.7849782840800549,0.6954456904401263,0.47548389901124244,0.7075628471653586,0.5705924010810154,0.3404926206974886,0.7300143272143691,0.3289943179698357,0.9224006695091093
1,0.8937672175839608,0.8410294706475427,0.43393606020624015,0.8214885440866482,0.43403760555677634,0.3614977797622881,0.8329914543919887,0.20058479115485356,0.964994826193679
2,0.9855768375366255,0.9937669826820557,0.9786227310304665,0.6986738822672232,0.3318399155702335,0.5307167319461128,0.9005037934930258,0.5077419658421616,0.9994499938998471
3,0.7457426574425001,0.781550566021508,0.6608064471372619,0.7782901152254513,0.21926039812086573,0.9221920383471144,0.6239713983594166,0.7099289026173776,0.8087962074141586
4,0.8512517228079444,0.8783019410947438,0.7774630305108075,0.829193978604909,0.478166168342708,0.6580967845317939,0.7731487076017266,0.6984132584209353,0.9489902090385555
5,0.7006772973337825,0.7245410562002358,0.5845999266330987,0.913119499348559,0.3365486613735037,0.8250766847575361,0.8733525154627535,0.6367786320541555,0.9469205978750515
6,0.8944518845341283,0.9185178959950651,0.9090316954034348,0.7800074205218052,0.31811196210328113,0.6878735449481845,0.8217313666038557,0.736927365595457,0.8426314158884869
7,0.9917143882252532,0.9826799746872454,0.9978843721967838,0.7240657834571795,0.5265826892957638,0.7383307207931435,0.4069432078655188,0.6486384796637896,0.6390727927547211
8,0.9402001172872891,0.9025140250026467,0.9994837691887175,0.48644850607340817,0.37180475342697583,0.7385255477426514,0.6777013718184229,0.7883249003933805,0.6715261912924329
9,0.636574366019098,0.5251079644411034,0.5613630300281579,0.47999314818440897,0.5728794539847833,0.7473956344660252,0.3901395352698206,0.5607689779360814,0.9992659430431983
10,0.9769394415684226,0.9882082999365656,0.84933023180429,0.5847623540545172,0.18914919259633556,0.8421525630909101,0.7058853293918871,0.8457931018528819,0.5715286612351725
11,0.7775129067842201,0.7085889192543323,0.6237832322267941,0.4583776087261171,0.39023818762097323,0.5509380912109361,0.6467225763097552,0.5385301923981666,0.9466698217975006
12,0.6773937836949994,0.5753787757369171,0.5935161789176011,0.5988054855218938,0.46362340615728836,0.6367603032136202,0.5388081780257687,0.6757807147831402,0.9998560751125162
13,0.8692889453809978,0.8121644975815381,0.6262104277322706,0.51921583106851,0.4054827091374225,0.685212718032842,0.748420696556545,0.46575390597772026,0.9995968376706563
14,0.6669402129357311,0.5745549963033099,0.6732235773158082,0.4400448116820692,0.5848204958720011,0.5366623894207806,0.5874307732408519,0.5436684102617041,0.9945843565300836
15,0.72835792502926,0.6328906817886799,0.632262965007802,0.4757138101385957,0.4365725124075367,0.7420411039743489,0.522601463803626,0.5367449099484007,0.99971586432638
16,0.600338381593134,0.47567265650114743,0.6929448426024027,0.3702987507229817,0.44659819033327347,0.6814049756907653,0.43489710132400694,0.724820581040137,0.9988159128447962
17,0.6351902066880952,0.5154867330833096,0.45345579991277185,0.45941303270472067,0.3353335358786777,0.6897289900198156,0.5248559426143584,0.67834692226931,0.9998185529546662
18,0.6375242543495492,0.53123261818273,0.629293433250752,0.6102753511021854,0.3002711228339532,0.672987765969649,0.3192790885736462,0.3033311640652426,0.9564608824671625
19,0.8747933262361454,0.9059282160429991,0.8268900540743684,0.7175254506745146,0.26413504762912976,0.721165535530107,0.5292239703141235,0.9439017195761508,0.6719896892946613
20,0.9550460042260631,0.9716956079363778,0.5965611414001661,0.6626663202326537,0.3578824833007702,0.614759163906916,0.30304566290472246,0.4608144797209315,0.37880439477909744
21,0.8952459058611859,0.8441812901453437,0.9964377900325756,0.7936585134501402,0.17200084592114662,0.7887793111159356,0.40671774085811696,0.9706501908984191,0.4774430303609728
22,0.6746758755750455,0.4672040689791344,0.3686887022454291,0.25263750045681166,0.6549568654776434,0.3316751245988828,0.25840247746549583,0.22715228120486033,0.9953509136031202
23,0.992333635022151,0.9307784793294668,0.6500576011847836,0.6560383795716319,0.2345272528500341,0.46407738703610224,0.33426372626168505,0.8929634690381189,0.847784256295043
24,0.9915044671185083,0.9724179712715293,0.964960692790235,0.6903587536171492,0.4627569056709863,0.6808967189671061,0.24037851583069986,0.9772598868726805,0.432143643576531
25,0.9887898676167197,0.9636937112881041,0.9568325116932406,0.7007387125704613,0.4738898091165361,0.5996116814997855,0.288728739273734,0.9993848628176756,0.28639695711595625
26,0.9947956195991532,0.9686302353397165,0.9417570167119469,0.7242184564857972,0.5220778687287139,0.5207835181582829,0.21371328702601444,0.9999765328250294,0.4964430539521728
