,smooth,smooth,smooth,smooth,smooth,disk,disk,disk,disk,disk,spiral,spiral,spiral,spiral,spiral,bar,bar,bar,bar,bar,merger,merger,merger,merger,merger,disturbed,disturbed,disturbed,disturbed,disturbed,ring,ring,ring,ring,ring,irregular,irregular,irregular,irregular,irregular,bulge,bulge,bulge,bulge,bulge
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.6392442409708596,0.2842799295601676,0.0,1.0,13761,0.32051551486083857,0.29147515687267717,0.0,1.0,13761,0.3249300922898045,0.35355414320371203,0.0,1.0,13761,0.16199236974057118,0.2452484291902059,0.0,1.0,13761,0.09949574885546109,0.18673941861645413,0.0,1.0,13761,0.1640113363854371,0.2459304407812757,0.0,1.0,13761,0.1452426422498365,0.267246169074497,0.0,1.0,13761,0.1567350483249764,0.24525434738611135,0.0,1.0,13761,0.37769042947460213,0.3132537998374695,0.0,1.0,13761
0,0.7659655172413793,0.18232640346851645,0.122,0.957,87,0.18713793103448276,0.19172850065421018,0.021,0.857,87,0.10205747126436782,0.17918240390158222,0.0,0.833,87,0.1929310344827586,0.3002080206349733,0.0,1.0,87,0.13485057471264367,0.2320033845350373,0.0,1.0,87,0.06332183908045977,0.18117635596117165,0.0,1.0,87,0.20408045977011494,0.3210679569590099,0.0,1.0,87,0.060390804597701145,0.19323358297376775,0.0,1.0,87,0.6625057471264367,0.2534330274159055,0.0,1.0,87
1,0.6894848484848485,0.22490416309120997,0.115,0.929,33,0.2696969696969697,0.2294194418592947,0.057,0.885,33,0.08924242424242423,0.16153637947514915,0.0,0.692,33,0.2565454545454545,0.31719090179546167,0.0,1.0,33,0.08927272727272727,0.1803391375865332,0.0,0.565,33,0.06881818181818182,0.13831021621373785,0.0,0.5,33,0.2641818181818182,0.32996831803840027,0.0,1.0,33,0.031242424242424238,0.17399264178102303,0.0,1.0,33,0.6096969696969697,0.2587315796400399,0.0,1.0,33
2,0.42941666666666667,0.32045765265141835,0.0,0.848,36,0.5464444444444445,0.32134898203350243,0.147,0.977,36,0.5858611111111112,0.36014617292568285,0.0,1.0,36,0.18866666666666665,0.2626787282703232,0.0,1.0,36,0.061111111111111116,0.18349414592106633,0.0,1.0,36,0.12047222222222222,0.2568562117062063,0.0,1.0,36,0.31647222222222227,0.32521399426145864,0.0,1.0,36,0.11261111111111112,0.17772808730156586,0.0,0.667,36,0.5138055555555555,0.22666360467119478,0.0,1.0,36
3,0.21224,0.17032598157650522,0.0,0.525,25,0.7679600000000001,0.17780735830293037,0.475,1.0,25,0.82864,0.18925553272405715,0.211,1.0,25,0.23015999999999998,0.23340784762585282,0.0,0.833,25,0.03508,0.056863081168716134,0.0,0.167,25,0.33728,0.324781403408508,0.0,1.0,25,0.15572,0.210102657447893,0.0,0.682,25,0.19407999999999997,0.18505763066317116,0.0,0.6,25,0.24844000000000002,0.1956953584869435,0.0,0.649,25
4,0.27694285714285716,0.25527689036867895,0.0,0.864,35,0.7024285714285714,0.2554273565101857,0.136,0.981,35,0.7703142857142856,0.2602558437416549,0.083,1.0,35,0.26162857142857143,0.27469823932649373,0.0,0.962,35,0.10291428571428572,0.1812642483533155,0.0,0.8,35,0.17017142857142856,0.25480436390600975,0.0,1.0,35,0.22722857142857145,0.3121979091118029,0.0,1.0,35,0.18854285714285715,0.2278045269984958,0.0,0.714,35,0.36782857142857145,0.1839676259426043,0.0,0.75,35
5,0.1896206896551724,0.24968571871070003,0.0,0.841,29,0.7986896551724137,0.24901019822034196,0.136,1.0,29,0.8598620689655172,0.1983864778186275,0.214,1.0,29,0.3282413793103448,0.3118850125987843,0.0,0.932,29,0.062310344827586205,0.1313789783815932,0.0,0.5,29,0.25889655172413795,0.2167533728239122,0.0,0.7,29,0.2936206896551724,0.3001654798122794,0.0,1.0,29,0.1610344827586207,0.17492273452638224,0.0,0.545,29,0.3652068965517241,0.15425914636238985,0.067,0.667,29
6,0.3111111111111111,0.29546200241620724,0.0,0.867,27,0.6664444444444444,0.3058012594094574,0.071,1.0,27,0.6756666666666666,0.35044982083470516,0.0,1.0,27,0.23114814814814813,0.2538700006065648,0.0,0.946,27,0.05766666666666667,0.11392068765998158,0.0,0.375,27,0.18359259259259259,0.205012431003822,0.0,0.714,27,0.2567037037037037,0.3150656604112393,0.0,1.0,27,0.20762962962962964,0.28887076537496675,0.0,1.0,27,0.27081481481481484,0.16827725223045928,0.0,0.575,27
7,0.5535357142857144,0.290331417539649,0.049,0.946,28,0.42267857142857146,0.2931686474030022,0.048,0.941,28,0.4729285714285715,0.385564226150161,0.0,1.0,28,0.20107142857142857,0.29348946962892686,0.0,1.0,28,0.11903571428571429,0.19298809829794192,0.0,0.769,28,0.20835714285714285,0.230896836717936,0.0,0.75,28,0.08135714285714286,0.17985348240241314,0.0,0.684,28,0.1660714285714286,0.19321546762932035,0.0,0.667,28,0.16199999999999998,0.1968231016251226,0.0,0.667,28
8,0.6429583333333333,0.28755815731879303,0.05,0.976,24,0.3182916666666667,0.2805200882780701,0.024,0.925,24,0.513375,0.32235759410670145,0.0,1.0,24,0.10558333333333332,0.18922563404494155,0.0,0.654,24,0.07158333333333333,0.15447102350100897,0.0,0.526,24,0.20845833333333333,0.21751621212275624,0.0,0.667,24,0.1789166666666667,0.2652173705155611,0.0,1.0,24,0.236,0.2803181422412135,0.0,1.0,24,0.176125,0.17955919757779776,0.0,0.667,24
9,0.839051282051282,0.07631154487659048,0.625,0.977,78,0.11852564102564102,0.07480237588402815,0.0,0.35,78,0.13143589743589745,0.20880436315187975,0.0,1.0,78,0.10350000000000001,0.16692970368998433,0.0,0.75,78,0.13570512820512823,0.21916897999384355,0.0,1.0,78,0.21311538461538462,0.31488377492067093,0.0,1.0,78,0.07661538461538461,0.19844893554761142,0.0,1.0,78,0.1312179487179487,0.217320437742686,0.0,1.0,78,0.48405128205128206,0.33753083158588976,0.0,1.0,78
10,0.41084000000000004,0.2843613722009373,0.0,0.946,25,0.56384,0.28284870514110544,0.0,1.0,25,0.72444,0.2550176595192315,0.0,1.0,25,0.1402,0.15825664809627008,0.0,0.732,25,0.02896,0.0743754439762659,0.0,0.333,25,0.27048,0.25251949099689974,0.0,1.0,25,0.19211999999999999,0.3203717007893592,0.0,1.0,25,0.27304,0.2494897259073674,0.0,0.714,25,0.1352,0.16283222449298337,0.0,0.579,25
11,0.7702857142857144,0.16330812892671623,0.333,0.957,28,0.19342857142857145,0.17275553881272865,0.021,0.651,28,0.15564285714285717,0.19313825680943236,0.0,0.5,28,0.09667857142857142,0.22571795799370187,0.0,1.0,28,0.07664285714285714,0.14763172756601808,0.0,0.474,28,0.12764285714285714,0.23483109994769755,0.0,1.0,28,0.16524999999999998,0.31436480636591857,0.0,0.943,28,0.12321428571428572,0.2839803536687727,0.0,1.0,28,0.6351071428571429,0.26638906930162554,0.0,1.0,28
12,0.8212232142857143,0.14199458877022653,0.021,0.975,112,0.13664285714285715,0.14751435154751522,0.0,0.957,112,0.1435714285714286,0.23056994460792016,0.0,1.0,112,0.14563392857142857,0.2606648462714613,0.0,1.0,112,0.0983125,0.1948655360489372,0.0,1.0,112,0.16102678571428572,0.2629510439764673,0.0,1.0,112,0.1233125,0.26415972615715555,0.0,1.0,112,0.17804464285714286,0.2909071053360617,0.0,1.0,112,0.49293750000000003,0.31681595194988194,0.0,1.0,112
