,smooth,smooth,smooth,smooth,smooth,disk,disk,disk,disk,disk,spiral,spiral,spiral,spiral,spiral,bar,bar,bar,bar,bar,merger,merger,merger,merger,merger,disturbed,disturbed,disturbed,disturbed,disturbed,ring,ring,ring,ring,ring,irregular,irregular,irregular,irregular,irregular,bulge,bulge,bulge,bulge,bulge
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.6446423436079662,0.28444123448084396,0.0,1.0,12101,0.31677993554251715,0.2920436929509446,0.0,1.0,12101,0.32592975787125034,0.3546170161223043,0.0,1.0,12101,0.16177762168415835,0.24579637957711864,0.0,1.0,12101,0.10069366168085281,0.18885517723181514,0.0,1.0,12101,0.16472762581604825,0.24890934860447053,0.0,1.0,12101,0.15549433931080076,0.27514045742298404,0.0,1.0,12101,0.14230914800429717,0.23617400933226299,0.0,1.0,12101,0.39768886868853814,0.31078871348389797,0.0,1.0,12101
0,0.228825,0.25468360336015516,0.0,0.844,40,0.7489250000000001,0.25442205874168805,0.156,1.0,40,0.8411250000000001,0.23601273189254984,0.0,1.0,40,0.338325,0.2844917544206393,0.0,1.0,40,0.07697499999999999,0.21040162906408433,0.0,1.0,40,0.30579999999999996,0.29698961390801326,0.0,1.0,40,0.100975,0.17174660635620081,0.0,0.6,40,0.2219,0.2493663559648324,0.0,1.0,40,0.27290000000000003,0.18827772721196356,0.0,0.6,40
1,0.2107111111111111,0.23217270435273965,0.0,0.841,45,0.7694666666666666,0.23510322684456558,0.136,1.0,45,0.8151999999999999,0.22452430522409736,0.083,1.0,45,0.2600222222222222,0.25557106189231926,0.0,0.9,45,0.08895555555555555,0.1819982461897961,0.0,0.8,45,0.15097777777777777,0.2481572530115173,0.0,1.0,45,0.35324444444444447,0.36739594417736815,0.0,1.0,45,0.1584,0.2200390874367552,0.0,0.714,45,0.36806666666666665,0.18840193976997932,0.0,0.667,45
2,0.7864285714285714,0.1719625960893284,0.167,0.919,35,0.16977142857142857,0.1785915625624217,0.044,0.833,35,0.09162857142857142,0.154641727439738,0.0,0.5,35,0.20948571428571428,0.29960310720808536,0.0,1.0,35,0.1084857142857143,0.22513543262936217,0.0,1.0,35,0.10362857142857143,0.24885231690754278,0.0,1.0,35,0.2016,0.3241471343477871,0.0,1.0,35,0.06934285714285715,0.23563505467480136,0.0,1.0,35,0.6419428571428571,0.23846283997809836,0.0,1.0,35
3,0.44822580645161286,0.2858084546785354,0.0,0.907,62,0.5253548387096775,0.285893772360581,0.064,1.0,62,0.540016129032258,0.3341065154557987,0.0,1.0,62,0.2569516129032258,0.3077819340568614,0.0,1.0,62,0.07216129032258065,0.16933304012211053,0.0,1.0,62,0.12924193548387097,0.24697286540300903,0.0,1.0,62,0.30737096774193545,0.3323242162664059,0.0,1.0,62,0.09851612903225808,0.1802844511935153,0.0,0.667,62,0.46325806451612905,0.23299784952809563,0.0,1.0,62
4,0.29819047619047623,0.2817276378077982,0.0,0.867,21,0.6838095238095238,0.2718675447801041,0.133,1.0,21,0.6718571428571428,0.32269696089586675,0.0,1.0,21,0.24833333333333332,0.2783205585890725,0.0,0.946,21,0.011857142857142858,0.0385931155962896,0.0,0.154,21,0.2765714285714286,0.30620378368474993,0.0,1.0,21,0.2643809523809524,0.35437656189292144,0.0,1.0,21,0.13885714285714285,0.16316411545259754,0.0,0.5,21,0.3311428571428571,0.1934505843140014,0.0,0.706,21
5,0.20557142857142857,0.217808533218644,0.0,0.69,21,0.7709047619047619,0.21907439484383032,0.276,1.0,21,0.7799523809523811,0.2699978659527657,0.0,1.0,21,0.1809047619047619,0.1559945206607927,0.0,0.744,21,0.06523809523809525,0.13976727255044535,0.0,0.55,21,0.18361904761904763,0.22334893691049354,0.0,1.0,21,0.18452380952380953,0.2863654342003621,0.0,1.0,21,0.23261904761904761,0.22975301438511664,0.0,0.704,21,0.17814285714285716,0.14411394301533967,0.0,0.5,21
6,0.7240208333333333,0.18918756758029942,0.115,0.929,48,0.23814583333333336,0.19431122103617013,0.028,0.885,48,0.10445833333333333,0.16258601106155413,0.0,0.692,48,0.21695833333333334,0.29325720018610435,0.0,1.0,48,0.10225000000000001,0.19421763401324335,0.0,0.636,48,0.06814583333333334,0.18133852081454088,0.0,1.0,48,0.30633333333333335,0.3578933832286723,0.0,1.0,48,0.028708333333333332,0.14811941104756668,0.0,1.0,48,0.65125,0.2580199151145986,0.0,1.0,48
7,0.46090476190476193,0.2682992554521731,0.021,0.829,21,0.5184761904761904,0.27302263991244735,0.146,0.976,21,0.5067619047619047,0.37851933963298423,0.0,1.0,21,0.26866666666666666,0.312082414328865,0.0,1.0,21,0.06495238095238096,0.13000326003238388,0.0,0.5,21,0.23233333333333336,0.2570776795704624,0.0,1.0,21,0.09423809523809525,0.17113675957020594,0.0,0.5,21,0.15352380952380953,0.2600889499858883,0.0,1.0,21,0.2908095238095238,0.2719791571145883,0.0,1.0,21
8,0.5386097560975609,0.282705931848695,0.0,0.962,41,0.42592682926829273,0.28359596173463947,0.023,1.0,41,0.4597073170731707,0.3638574064041049,0.0,1.0,41,0.16858536585365855,0.21296384383384845,0.0,0.795,41,0.07439024390243902,0.17215107871413127,0.0,0.7,41,0.24717073170731707,0.31314748142361165,0.0,1.0,41,0.17514634146341462,0.2810485332621049,0.0,1.0,41,0.11963414634146342,0.18704728761700357,0.0,0.656,41,0.26209756097560977,0.27296930275014886,0.0,1.0,41
9,0.467125,0.24571480684799568,0.023,0.795,24,0.5067916666666666,0.2444836580591247,0.182,0.974,24,0.46470833333333333,0.3866581997136451,0.0,1.0,24,0.24508333333333332,0.2923483503818937,0.0,1.0,24,0.1779166666666667,0.29318638035077343,0.0,1.0,24,0.169,0.23658586087342032,0.0,0.818,24,0.080125,0.12243625226853858,0.0,0.333,24,0.17670833333333333,0.2581229028409035,0.0,1.0,24,0.198125,0.27578194166374653,0.0,1.0,24
10,0.7947032258064516,0.17346574848833274,0.0,0.978,155,0.16196774193548388,0.1807115596297843,0.0,1.0,155,0.17391612903225806,0.25470754696008674,0.0,1.0,155,0.11923225806451614,0.22415196084367148,0.0,1.0,155,0.06785806451612904,0.16498856468479586,0.0,1.0,155,0.19356129032258063,0.3096711511724238,0.0,1.0,155,0.13892903225806452,0.28337827753310385,0.0,1.0,155,0.13398064516129032,0.26180302576227493,0.0,1.0,155,0.48823225806451614,0.3402950747714389,0.0,1.0,155
11,0.8695862068965517,0.06379796080562188,0.697,0.958,29,0.08227586206896552,0.058904824294137,0.0,0.303,29,0.0533448275862069,0.13416601546007656,0.0,0.556,29,0.04058620689655173,0.12251166627870276,0.0,0.444,29,0.18051724137931036,0.2530994469556603,0.0,1.0,29,0.12327586206896553,0.22951982431523119,0.0,1.0,29,0.12489655172413792,0.2696846498131245,0.0,1.0,29,0.04534482758620689,0.13165085748244132,0.0,0.667,29,0.5439310344827587,0.34856859655233297,0.0,1.0,29
12,0.7880416666666666,0.10327989794166423,0.528,0.957,24,0.1709166666666667,0.11234764240349324,0.021,0.444,24,0.19841666666666669,0.2018182386437741,0.0,0.5,24,0.11804166666666667,0.24114157471902475,0.0,1.0,24,0.127875,0.19031399969067136,0.0,0.5,24,0.10429166666666667,0.21949001743501498,0.0,1.0,24,0.095625,0.22579729510838004,0.0,0.875,24,0.15208333333333332,0.2931221613069802,0.0,1.0,24,0.6517499999999999,0.24549634726761035,0.0,1.0,24
