cluster,smooth_entropy,disk_entropy,spiral_entropy,bar_entropy,merger_entropy,disturbed_entropy,ring_entropy,irregular_entropy,bulge_entropy
-1,0.9387620935559738,0.9008453230146618,0.9107136625826017,0.638545280592908,0.47119060045605604,0.6455005195697323,0.6234207849426392,0.5902544614893176,0.9695826049536511
0,0.7759573844889966,0.8129775174798697,0.6316113917809012,0.9232068190208707,0.39142967852993027,0.8882656424202691,0.47207867313545776,0.7636217031158092,0.845595243702115
1,0.7428398058231693,0.7789398653791229,0.6904658250533907,0.8267799042778025,0.4329739560118451,0.6122817946130523,0.936932289889326,0.6304680695404375,0.9491760527869724
2,0.7482541630754691,0.6571816369074709,0.44188254193130005,0.7404985509350082,0.49533145124139166,0.480393477653104,0.7251165763105973,0.36346652370486454,0.9410586447757887
3,0.9922516367368664,0.9981442796935578,0.9953747070075725,0.8221113856941444,0.3739378881599489,0.5553555189796198,0.8901153468400611,0.46427410777702854,0.996101297275616
4,0.8790676906214716,0.9001905311324089,0.9130176758870943,0.808625817767483,0.0928676054507511,0.8507369749155862,0.8332855913977926,0.5812379286144767,0.9160897655031991
5,0.7329319670789468,0.7764307630553964,0.7602544444113204,0.6820523319048887,0.3478964385669678,0.6879304934695396,0.689874083566943,0.782549026519193,0.6759974085930307
6,0.8499141249131128,0.7919432448363878,0.48297092254996554,0.7545744882524792,0.47608761650534637,0.35896585488219696,0.8888954831052918,0.1878722683923329,0.932946742340417
7,0.9955853564142525,0.9990147912150208,0.9998680662602587,0.8395448737105276,0.3467980966688142,0.7820567040561717,0.4504600138896909,0.6185888347614823,0.8697646671640513
8,0.9956944258400839,0.9841099168879026,0.995310485010396,0.6544584414119504,0.3820976131253545,0.8067629665443643,0.6693430996690194,0.5283083151263716,0.8298951536467811
9,0.9968793188289491,0.9998669022800352,0.9964032516597865,0.8033919806048027,0.6754982134935764,0.6554120818442417,0.4026194823802127,0.672822899524798,0.7181622076283155
10,0.7323959814519525,0.6389963047597174,0.6665852940488425,0.5271499810166703,0.3578790441429586,0.708862238932953,0.5814271571596972,0.5682549210388499,0.9996003950058363
11,0.5585719230964663,0.4101480002101263,0.3004391137200617,0.24497350044013444,0.6812072704037523,0.5387044931163248,0.5432739565778889,0.2662828718087317,0.9944241954788684
12,0.7452093849259767,0.6597974343102055,0.7187501033915686,0.5237053753487927,0.5515814294073109,0.48245406942446883,0.4549717261601114,0.6150293843697606,0.9324954390349018
13,0.6401610302607801,0.5343125662278708,0.5326922641147214,0.6636058350223142,0.46753744726812096,0.8925485115523599,0.3446899986907592,0.6501060879887233,0.990470541336819
14,0.7302672338705893,0.6586083709228048,0.6378030851924288,0.47311032631173,0.6490134734279511,0.5326940608799627,0.5618225813676021,0.4576890588429818,0.9820659681905549
15,0.9065968408718545,0.8516766288942155,0.9510552324636548,0.821572261748006,0.5642547974334596,0.7045988187550024,0.6067033189373926,0.8238656904446751,0.8574190221036748
16,0.6596618076990741,0.5606615851049042,0.6378859850453138,0.5183801442195601,0.5995570607068567,0.7061546281908284,0.37557852854900164,0.30034201358837953,0.9780489236102554
17,0.7224523749793029,0.6282355787956416,0.5259821990060395,0.5217739790911922,0.45629216630609176,0.7390787283733148,0.5957774574784038,0.5820019371555206,0.9998715463134293
18,0.6700533841289769,0.574618405598804,0.5819896225007717,0.6378011112283791,0.38753943766646076,0.6227366744463152,0.638055691915042,0.6302787133732591,0.9843557717597606
19,0.9640453447639282,0.9195978903918022,0.8758501754919965,0.6102402112760044,0.43973110881118466,0.610925981799036,0.3472168580871126,0.8243070382366458,0.7995566283858007
20,0.7343858824284125,0.6316933546472862,0.8019256096229169,0.6565597113727233,0.5219995015743154,0.7302132972704781,0.4072837491072896,0.6017047758303095,0.9837478836026242
21,0.6548603078220107,0.5559003803352919,0.5799276324293511,0.6461380758647463,0.1669665597077238,0.7545035012883111,0.5044837816534248,0.8206501291977117,0.9966382908145028
