,smooth,smooth,smooth,smooth,smooth,disk,disk,disk,disk,disk,spiral,spiral,spiral,spiral,spiral,bar,bar,bar,bar,bar,merger,merger,merger,merger,merger,disturbed,disturbed,disturbed,disturbed,disturbed,ring,ring,ring,ring,ring,irregular,irregular,irregular,irregular,irregular,bulge,bulge,bulge,bulge,bulge
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,0.6440199254819374,0.2856500649183088,0.0,1.0,18519,0.316079863923538,0.29313235498620605,0.0,1.0,18519,0.3224678978346563,0.35463486015996487,0.0,1.0,18519,0.1624582860845618,0.2456528941332608,0.0,1.0,18519,0.10070543765862087,0.18852070488501757,0.0,1.0,18519,0.16564371726335114,0.24961271733137586,0.0,1.0,18519,0.149560667422647,0.2703962399098981,0.0,1.0,18519,0.14622981802473137,0.2371139905015059,0.0,1.0,18519,0.3955767050056699,0.3125082208479581,0.0,1.0,18519
0,0.8631801075268818,0.06445723906523565,0.235,0.977,372,0.08299462365591398,0.056627500611138144,0.0,0.735,372,0.08050268817204301,0.18250357598912673,0.0,1.0,372,0.04822043010752688,0.14346144353430498,0.0,1.0,372,0.12325000000000001,0.2032675911498432,0.0,1.0,372,0.09719354838709678,0.20961439417172384,0.0,1.0,372,0.043698924731182795,0.12783747978872573,0.0,1.0,372,0.06472849462365592,0.1695626972431733,0.0,1.0,372,0.5694462365591398,0.33832561360526314,0.0,1.0,372
1,0.5062119026149684,0.24815223507266132,0.0,0.977,1109,0.4481974752028855,0.2534800417113074,0.0,1.0,1109,0.3402741208295762,0.3434645508842806,0.0,1.0,1109,0.1733264201983769,0.24881277274441832,0.0,1.0,1109,0.06690081154192966,0.14196071267566984,0.0,1.0,1109,0.1659044183949504,0.20591680584185848,0.0,1.0,1109,0.05344183949504058,0.15781098316252096,0.0,1.0,1109,0.3699891794409378,0.29443997486716583,0.0,1.0,1109,0.08504147880973852,0.1564285516769896,0.0,1.0,1109
